Week,Title,Lens,Essential Question,Theme,Standards
11,Coordinate Planes and Data,Coordinates,How can coordinates and data reveal relationships?,"Coordinate graphing, ordered pairs, line graphs, data stories, map connections, and digital charts",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
12,Geometry Hierarchies and Classification,Geometry,How do properties help us organize shapes and arguments?,"Properties of figures, hierarchy of quadrilaterals, classification, proof language, and design critique",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
13,Matter: Properties and Measurement,Matter,How can properties help us identify and compare matter?,"Properties of matter, measurement, mass, volume, density foundations, observation, and descriptive language",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
14,Conservation of Matter and Mixtures,Conservation,How can evidence show that matter is conserved?,"Conservation of matter, mixtures, solutions, separation methods, data tables, and CER writing",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
15,"Forces, Motion, and Data Arguments",Forces,How does data help explain motion and change?,"Forces, motion, variables, graphs, models, fair tests, mathematical interpretation, and technical writing",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
16,Earth Systems: Spheres and Water,Earth Systems,How do Earth systems interact and support life?,"Geosphere, hydrosphere, atmosphere, biosphere, water distribution, maps, models, and human use",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
17,Midyear Portfolio and Assessment,Midterm,How can I prove growth across every subject?,"Cumulative review, midterm, essay conference, math defense, science notebook audit, and portfolio reflection",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
18,Ecosystems and Energy Flow,Ecosystems,How do energy and matter move through ecosystems?,"Food webs, producers/consumers/decomposers, energy flow, matter cycles, ecosystem models, and explanatory writing",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
19,Human Impact and Environmental Stewardship,Stewardship,How can evidence guide responsible stewardship?,"Natural resources, water/land choices, conservation, data, civic proposals, and ethical decision-making",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
20,"Stars, Sun, and Scale",Astronomy,How can scale help us understand objects too large to experience directly?,"Stars, apparent brightness, distance, scale models, informational reading, and mathematical reasoning",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
21,"Sun, Earth, Moon, and Patterns",Sky Patterns,How do patterns in the sky help us explain time and motion?,"Day/night, shadows, seasons foundations, lunar patterns, data collection, and model evaluation",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
22,Indigenous Civilizations and Geography,Indigenous Studies,How do geography and culture shape civilizations?,"Indigenous civilizations, land, resources, culture, trade, primary sources, respectful historical language, and maps",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
23,"Exploration, Encounter, and Perspective",Historical Perspective,"How can we study encounters with accuracy, evidence, and respect?","Exploration, encounter, migration, trade, perspective, cause/effect, ethical history, and source analysis",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
24,"Colonization, Regions, and Economies",Colonial Regions,"How do geography, resources, and power shape economies?","Colonial regions, resources, labor systems, trade, geography, economics, and comparative evidence",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
25,Revolution Foundations and Civic Arguments,Rights,How do ideas about rights and representation change history?,"Rights, representation, protest, revolution foundations, civic vocabulary, persuasive writing, and debate",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
26,Constitutional Principles and Government,Government,How do constitutional principles organize public life?,"Constitution, separation of powers, federalism foundations, checks/balances, rights, responsibilities, and civic action",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
27,"Economics, Budgets, and Financial Reasoning",Economics,How do people make wise choices with limited resources?,"Budgets, income/expenses, saving, profit/loss, decimals, trade, scarcity, opportunity cost, and market ethics",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
28,Research Writing: Question to Thesis,Research,How do researchers build trustworthy explanations?,"Research questions, source evaluation, paraphrase, citation notes, outline, thesis, evidence paragraphs, and revision",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
29,Argument Writing and Public Speaking,Argument,How can a strong argument be both persuasive and fair?,"Claims, reasons, evidence, counterarguments, transitions, speaking skills, audience awareness, and respectful critique",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
30,"Poetry, Drama, and Media Literacy",Media Arts,How do creators shape emotion and meaning through form?,"Poetry, drama, figurative language, media messages, performance, tone, structure, and artistic response",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
31,Statistics Foundations and Data Stories,Data,How can data tell a story and still require careful interpretation?,"Mean/median/mode/range foundations, data displays, line plots, interpretation, and written data arguments",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
32,"Digital Citizenship, Spreadsheets, and Coding",Technology,How can digital tools strengthen evidence without replacing judgment?,"Digital safety, ethical media, spreadsheets, algorithms, debugging, charts, accessibility, and presentation design",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
33,Global Citizenship and Service Design,Global Citizenship,How can local action connect to global responsibility?,"Global interdependence, community needs, service planning, human dignity, resource choices, and informed action",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
34,A++ Big Question Capstone Research,Capstone Research,"What big question can I investigate with evidence, calculation, design, and care?","Independent inquiry, research plan, source notes, math/data component, science or civic model, and project schedule",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
35,"Capstone Studio, Revision, and Oral Defense",Capstone Studio,How can I make my evidence clear enough to defend?,"Draft, revise, build, calculate, design, peer critique, presentation media, oral defense practice, and reflection",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
36,Final Review and Middle School Readiness,Final,How am I ready for middle school?,"Cumulative final, portfolio defense, certificate, grade 6 readiness, study habits, reflection, and celebration",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
