Week,Title,Lens,Essential Question,Theme,Standards
17,Midyear Portfolio and Assessment,Midterm,How can I prove my growth with evidence?,"Cumulative review, midterm demonstration, revised writing, math proof, and project audit",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
18,Research Writing Workshop,Research,How do researchers turn questions into trustworthy writing?,"Research questions, notes, paragraph structure, source ethics, diagrams, and mini-presentation",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
19,Area and Perimeter Design Studio,Area,How do designers use measurement to solve problems?,"Area, perimeter, constraints, city planning, arrays, measurement, and blueprint writing",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
20,"Poetry, Rhythm, and Measurement",Poetry,How can patterns make language and music powerful?,"Poetry, figurative language, rhythm, meter, measurement, sound, movement, and performance",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
21,Fossils and Earth History,Fossils,How do clues from the past help us explain Earth history?,"Fossils, past environments, evidence from rocks, sequence, timelines, and scientific claims",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
22,"Habitats, Adaptations, and Survival",Habitats,How do organisms survive in changing habitats?,"Habitats, adaptations, food chains, cause/effect text, ecosystem models, and conservation",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
23,"Government, Rights, and Responsibilities",Government,How do communities make decisions and protect fairness?,"Local government, rules/laws, rights/responsibilities, persuasive writing, and civic action",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
24,"Economics, Resources, and Trade",Economics,How do choices shape a community economy?,"Goods/services, producers/consumers, resources, budgets, multiplication/division contexts, and market design",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
25,"Measurement: Mass, Volume, and Time",Measurement,How do precise measurements help us compare and decide?,"Standard measurement, elapsed time foundations, liquid volume, mass, estimation, and lab records",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
26,Geometry and Quadrilaterals,Geometry,How do attributes define and connect shapes?,"Attributes, categories, quadrilaterals, symmetry, perimeter, shape sorting, and geometry vocabulary",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
27,Reading Across Genres,Genres,How do readers adjust thinking across genres?,"Compare fiction, nonfiction, poetry, drama, point of view, theme, and evidence discussion",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
28,Advanced Multiplication and Division,Fluency,How do multiplication and division work together?,"Products within 100, division fluency, unknown factors, patterns, mental strategies, and explanations",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
29,Fractions in the Real World,Fraction Applications,How do fractions help us compare and share fairly?,"Compare fractions, fraction word problems, measurement fractions, fair-share contexts, and cooking/design",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
30,Environmental Stewardship,Stewardship,How can evidence guide care for the Earth?,"Natural resources, community science, water/soil care, civic responsibility, data, and action proposal",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
31,Biography and Leadership,Biography,What can we learn from people who lead and serve?,"Biography, timelines, leadership traits, point of view, opinion writing, and public speaking",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
32,"Innovation, Tools, and Engineering",Engineering,How do inventors improve a design?,"Engineering design, prototypes, constraints, failures, tool safety, algorithms, and presentation",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
33,Digital Citizenship and Data Tools,Technology,How can digital tools help us create responsibly?,"Online safety, ethical creation, keyboarding, spreadsheets, graphs, citations, and digital presentation",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
34,Big Question Capstone Research,Capstone Research,What big question can I investigate deeply?,"Independent research, project planning, data/evidence collection, draft, model, and conference",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
35,Capstone Studio and Public Presentation,Capstone Studio,How can I present evidence clearly and confidently?,"Final project, writing revision, math evidence, visual design, oral presentation, and peer questions",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
36,Final Review and Grade 4 Readiness,Final,How am I ready for fourth grade?,"Cumulative final, portfolio defense, celebration, certificate, transition skills, and reflection",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
