Week,Title,Lens,Essential Question,Theme,Standards
18,Research Writing: Question to Thesis,Research,How do researchers turn questions into trustworthy explanations?,"Research questions, note systems, paraphrase, citations, paragraphs, visual supports, and oral report planning",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
19,"Earth Materials, Weathering, and Erosion",Earth Systems,How do Earth materials change landscapes over time?,"Rocks, minerals, soil, weathering, erosion, landform change, models, maps, and CER writing",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
20,"Fossils, Time, and Evidence of the Past",Fossils,How do clues in Earth materials reveal the past?,"Fossil evidence, geologic time foundations, claims from evidence, timelines, and informational writing",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
21,Natural Hazards and Engineering Solutions,Hazards,How can communities reduce risk from natural hazards?,"Earthquakes, volcanoes, floods, storms, hazard maps, design solutions, and risk communication",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
22,Life Structures and Function,Life Structures,How do structures help living things survive?,"Plant/animal structures, senses, survival, models, comparison text, and evidence diagrams",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
23,Indigenous Histories and Cultural Geography,Indigenous Studies,"How do geography, culture, and history shape communities?","Indigenous nations, culture, geography, primary sources, respectful language, and map evidence",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
24,"Exploration, Encounter, and Historical Perspective",Perspective,How can we study encounters with accuracy and respect?,"Multiple perspectives, timelines, cause/effect, source analysis, and ethical historical thinking",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
25,"Colonial Regions, Labor, and Economy",Colonial Regions,How do geography and resources shape economies?,"Colonial regions, resources, labor systems, trade, geography, economics, and evidence-based comparison",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
26,"Government, Rights, and Responsibilities",Civics,How do rules and rights protect a community?,"Constitutions, branches/levels of government, rights, responsibilities, laws, civic participation, and debate",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
27,Decimal Fractions and Money,Decimals,How do decimals help us describe parts and value?,"Tenths/hundredths, decimal notation, money, comparisons, models, and real-world decision-making",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
28,Measurement Conversions and Data,Conversions,How do units and data help us make accurate decisions?,"Customary/metric units, elapsed time, conversion tables, line plots, data interpretation, and precision",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
29,"Geometry: Lines, Angles, and Symmetry",Geometry,How do geometric properties help us classify and design?,"Points, lines, rays, angles, perpendicular/parallel lines, symmetry, classification, and drawing tools",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
30,Angle Measurement and Problem Solving,Angles,"How can angles be measured, combined, and reasoned about?","Protractors, angle addition, missing angle problems, design constraints, and math arguments",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
31,"Poetry, Drama, and Performance",Performance,"How do structure, voice, and performance change meaning?","Poetry, drama, verse, rhythm, stage directions, voice, movement, art response, and performance critique",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
32,"Economics, Entrepreneurship, and Budgets",Economics,How do economic choices affect people and communities?,"Producers/consumers, supply/demand foundations, budgets, profit/loss, decimals, and market ethics",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
33,"Digital Citizenship, Data, and Spreadsheets",Technology,How can digital tools help us organize and share evidence responsibly?,"Digital safety, source ethics, spreadsheets, tables, charts, accessibility, algorithms, and debugging",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
34,A++ Big Question Capstone Research,Capstone Research,"What big question can I investigate with evidence, calculation, and design?","Independent inquiry, research plan, source notes, math/data component, model/prototype, and project schedule",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
35,"Capstone Studio, Revision, and Defense",Capstone Studio,How can I make my evidence clear enough to defend?,"Draft, revise, build, calculate, design, peer review, oral defense practice, and presentation media",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
36,Final Review and Grade 5 Readiness,Final,How am I ready for fifth grade?,"Cumulative final, portfolio defense, certificate, reflection, transition skills, and celebration",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
